hhid,id2,rule_name,detail
04 0641 176 3,4,monetary_outlier_q6_05a,"q6_05a=64000.0 outside IQR bounds [-26000, 54000]"
04 0697 028 5,1,monetary_outlier_q6_05a,"q6_05a=142500.0 outside IQR bounds [-26000, 54000]"
04 0697 061 2,2,monetary_outlier_q6_05a,"q6_05a=150000.0 outside IQR bounds [-26000, 54000]"
04 0763 009 9,2,monetary_outlier_q6_05a,"q6_05a=125000.0 outside IQR bounds [-26000, 54000]"
04 1119 079 2,1,monetary_outlier_q6_05a,"q6_05a=63000.0 outside IQR bounds [-26000, 54000]"
05 0229 067 1,1,monetary_outlier_q6_05a,"q6_05a=84000.0 outside IQR bounds [-26000, 54000]"
06 0085 033 0,1,monetary_outlier_q6_05a,"q6_05a=100000.0 outside IQR bounds [-26000, 54000]"
06 0416 046 1,4,monetary_outlier_q6_05a,"q6_05a=60000.0 outside IQR bounds [-26000, 54000]"
09 0017 005 0,1,monetary_outlier_q6_05a,"q6_05a=96000.0 outside IQR bounds [-26000, 54000]"
09 0017 005 0,2,monetary_outlier_q6_05a,"q6_05a=100000.0 outside IQR bounds [-26000, 54000]"
10 0011 070 5,2,monetary_outlier_q6_05a,"q6_05a=80000.0 outside IQR bounds [-26000, 54000]"
10 0011 083 1,1,monetary_outlier_q6_05a,"q6_05a=252000.0 outside IQR bounds [-26000, 54000]"
10 0015 202 4,1,monetary_outlier_q6_05a,"q6_05a=90000.0 outside IQR bounds [-26000, 54000]"
10 0039 649 4,1,monetary_outlier_q6_05a,"q6_05a=100000.0 outside IQR bounds [-26000, 54000]"
10 0084 821 8,1,monetary_outlier_q6_05a,"q6_05a=60000.0 outside IQR bounds [-26000, 54000]"
10 0144 070 9,3,monetary_outlier_q6_05a,"q6_05a=60000.0 outside IQR bounds [-26000, 54000]"
10 0144 096 7,3,monetary_outlier_q6_05a,"q6_05a=60000.0 outside IQR bounds [-26000, 54000]"
04 0481 002 6,1,monetary_outlier_q6_05b,"q6_05b=200000.0 outside IQR bounds [-47500, 92500]"
04 0495 040 2,2,monetary_outlier_q6_05b,"q6_05b=180000.0 outside IQR bounds [-47500, 92500]"
04 0562 471 5,1,monetary_outlier_q6_05b,"q6_05b=400000.0 outside IQR bounds [-47500, 92500]"
04 0641 212 6,2,monetary_outlier_q6_05b,"q6_05b=120000.0 outside IQR bounds [-47500, 92500]"
10 0039 649 4,1,monetary_outlier_q6_05b,"q6_05b=150000.0 outside IQR bounds [-47500, 92500]"
10 0092 027 2,4,monetary_outlier_q6_05b,"q6_05b=100000.0 outside IQR bounds [-47500, 92500]"
10 0144 070 9,3,monetary_outlier_q6_05b,"q6_05b=100000.0 outside IQR bounds [-47500, 92500]"
06 0229 014 3,4,monetary_outlier_q6_05c,"q6_05c=40000.0 outside IQR bounds [-15000, 33000]"
06 0292 117 0,3,monetary_outlier_q6_05c,"q6_05c=50000.0 outside IQR bounds [-15000, 33000]"
06 0478 098 9,1,monetary_outlier_q6_05c,"q6_05c=45000.0 outside IQR bounds [-15000, 33000]"
10 0137 204 1,2,monetary_outlier_q6_05c,"q6_05c=50000.0 outside IQR bounds [-15000, 33000]"
